nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      co_ppm_dry,      no_ppm_dry,          o2_dry,         co2_dry,velocity-magnitude,      x-velocity,      y-velocity,      z-velocity
      2842,-2.825490210E-02, 5.897696999E-01,-2.825490265E-02, 7.324423342E+03, 3.674304450E+03, 6.229910320E+00, 1.202232407E+01, 8.851240759E+00,-6.564790554E+00,-5.678591810E+00,-2.513597421E-02
      2843,-9.795088942E-02, 5.562202167E-01,-9.795088963E-02, 4.354971135E+02, 1.732860548E+03, 7.762707782E+00, 1.090561231E+01, 6.896506850E+00,-5.345917264E+00,-4.018041131E+00,-1.451249411E+00
      2844,-9.795088942E-02, 5.494000164E-01,-9.795088963E-02, 4.615403034E+02, 1.734400274E+03, 7.908315073E+00, 1.090516904E+01, 7.219601398E+00,-5.977976274E+00,-3.455731230E+00,-1.847366004E+00
      2845,-9.795088942E-02, 5.636165314E-01,-9.795088963E-02, 4.203920259E+02, 1.727978306E+03, 7.699149167E+00, 1.082902856E+01, 6.870861660E+00,-5.032521291E+00,-4.451336574E+00,-1.256621609E+00
      2846,-9.795088942E-02, 5.716376259E-01,-9.795088963E-02, 4.325484775E+02, 1.721853175E+03, 7.710106673E+00, 1.068955445E+01, 7.026680801E+00,-4.842871477E+00,-4.897547545E+00,-1.235763379E+00
      2847,-9.795088942E-02, 5.803362764E-01,-9.795088963E-02, 4.804723636E+02, 1.715956398E+03, 7.779145168E+00, 1.051070289E+01, 7.407575117E+00,-4.709424255E+00,-5.517581657E+00,-1.358904315E+00
      2848,-9.795088942E-02, 5.897697174E-01,-9.795088963E-02, 5.543970693E+02, 1.711037322E+03, 7.883175298E+00, 1.032485714E+01, 8.186318454E+00,-4.674147680E+00,-6.497181678E+00,-1.589000532E+00
      2849,-8.990355936E-02, 5.493999836E-01,-8.990355939E-02, 5.933940676E+02, 1.765664792E+03, 7.761453790E+00, 1.121553536E+01, 7.627604309E+00,-6.496468039E+00,-3.452149068E+00,-1.453187280E+00
      2850,-8.990355936E-02, 5.562201835E-01,-8.990355939E-02, 5.637915344E+02, 1.760907920E+03, 7.551133995E+00, 1.129405359E+01, 7.442067409E+00,-6.061264156E+00,-4.017537810E+00,-1.085878200E+00
      2851,-8.940880732E-02, 5.562202001E-01,-8.940880752E-02, 5.711872961E+02, 1.762149819E+03, 7.536337452E+00, 1.132034455E+01, 7.486948537E+00,-6.109330425E+00,-4.034288607E+00,-1.067875961E+00
      2852,-8.940880732E-02, 5.494000000E-01,-8.940880752E-02, 6.011586023E+02, 1.767224746E+03, 7.749241337E+00, 1.123845303E+01, 7.667150580E+00,-6.532650040E+00,-3.472677021E+00,-1.436679555E+00
      2853,-8.940880577E-02, 5.636165041E-01,-8.940880577E-02, 5.359698606E+02, 1.751663908E+03, 7.424367958E+00, 1.129868751E+01, 7.432645748E+00,-5.863555769E+00,-4.391915667E+00,-8.431286401E-01
      2854,-8.990356208E-02, 5.636165146E-01,-8.990356239E-02, 5.298292418E+02, 1.750784692E+03, 7.441063099E+00, 1.127018859E+01, 7.392951813E+00,-5.812535807E+00,-4.383641076E+00,-8.667419008E-01
      2855,-8.940880577E-02, 5.716375982E-01,-8.940880577E-02, 5.145402637E+02, 1.739554576E+03, 7.404107758E+00, 1.118326185E+01, 7.381158462E+00,-5.608298457E+00,-4.665793352E+00,-7.428401305E-01
      2856,-8.990356208E-02, 5.716376088E-01,-8.990356239E-02, 5.101905106E+02, 1.738995445E+03, 7.422067553E+00, 1.115391349E+01, 7.356375492E+00,-5.561101476E+00,-4.671489376E+00,-7.748199073E-01
      2857,-8.940880577E-02, 5.803362483E-01,-8.940880577E-02, 5.377331195E+02, 1.728472469E+03, 7.462053388E+00, 1.099064055E+01, 7.367267727E+00,-5.268209555E+00,-5.017954456E+00,-7.747858929E-01
      2858,-8.990356208E-02, 5.803362591E-01,-8.990356239E-02, 5.346254700E+02, 1.728136762E+03, 7.480548519E+00, 1.096207968E+01, 7.367575192E+00,-5.231700517E+00,-5.042705205E+00,-8.151246854E-01
      2859,-8.940880577E-02, 5.897696889E-01,-8.940880577E-02, 6.070356837E+02, 1.719585696E+03, 7.579294920E+00, 1.074787730E+01, 7.589493121E+00,-4.871241888E+00,-5.667780719E+00,-9.377229058E-01
      2860,-8.990356208E-02, 5.897696999E-01,-8.990356239E-02, 6.043585556E+02, 1.719378529E+03, 7.597335984E+00, 1.072206058E+01, 7.624104080E+00,-4.853206431E+00,-5.715213063E+00,-9.840644952E-01
      2861,-6.648712294E-02, 5.562202001E-01,-6.648712295E-02, 1.537394483E+03, 2.000419303E+03, 7.213408243E+00, 1.211359639E+01, 8.981371848E+00,-7.889574155E+00,-4.260054981E+00,-1.983165724E-01
      2862,-6.648712294E-02, 5.494000000E-01,-6.648712295E-02, 1.429216791E+03, 2.006372743E+03, 7.741748896E+00, 1.163353738E+01, 8.677628296E+00,-7.911820148E+00,-3.517877733E+00,-3.769885612E-02
      2863,-6.648712294E-02, 5.636165146E-01,-6.648712295E-02, 1.571443520E+03, 1.961775848E+03, 6.803900674E+00, 1.247688907E+01, 9.251112367E+00,-7.941939164E+00,-4.723668014E+00,-2.633551000E-01
      2864,-6.648712294E-02, 5.716376088E-01,-6.648712295E-02, 1.534478224E+03, 1.902059986E+03, 6.530520891E+00, 1.269549464E+01, 9.361559184E+00,-7.988019014E+00,-4.866868338E+00,-2.372999506E-01
      2865,-6.648712294E-02, 5.803362591E-01,-6.648712295E-02, 1.446875363E+03, 1.837410257E+03, 6.393844422E+00, 1.275169625E+01, 9.237532877E+00,-7.930146742E+00,-4.725997020E+00,-4.875638188E-02
      2866,-6.648712294E-02, 5.897696999E-01,-6.648712295E-02, 1.336986654E+03, 1.783469531E+03, 6.387654533E+00, 1.263423037E+01, 8.843998277E+00,-7.641018102E+00,-4.426472863E+00, 3.088305248E-01
      2867,-6.457147059E-02, 5.562202001E-01,-6.457147062E-02, 1.648988619E+03, 2.041618931E+03, 7.282425961E+00, 1.205542233E+01, 9.104569047E+00,-8.016501078E+00,-4.293907408E+00,-5.949151887E-02
      2868,-6.457147059E-02, 5.494000000E-01,-6.457147062E-02, 1.518061111E+03, 2.042641607E+03, 7.851055160E+00, 1.153143774E+01, 8.819276424E+00,-8.052650162E+00,-3.558231740E+00, 1.258446594E-01
